epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,349.692,1.0552,1.61376,0.96103,0.83964,0.85714,0.93353,0.6854,1.05124,1.59008,0.8823,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,360.733,1.06329,1.75333,0.98908,0.93721,0.91947,0.9608,0.73201,1.05025,1.54624,0.88168,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,369.614,1.02713,1.60427,0.99464,0.93721,0.91947,0.9608,0.73201,1.05025,1.54624,0.88168,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,380.633,0.94749,1.40254,0.88993,0.94526,0.85714,0.97069,0.71167,1.05811,1.54887,0.8841,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,389.338,1.01532,1.63923,0.97807,0.94526,0.85714,0.97069,0.71167,1.05811,1.54887,0.8841,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,400.382,0.91961,1.41685,0.93643,0.90832,0.91723,0.9775,0.72389,1.05111,1.54577,0.88329,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,411.364,0.90476,1.40649,0.88503,0.92417,0.95769,0.98625,0.73173,1.04733,1.52245,0.88307,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,420.116,0.9347,1.43088,0.92349,0.92417,0.95769,0.98625,0.73173,1.04733,1.52245,0.88307,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,431.062,0.95097,1.39122,0.94906,0.93605,0.94053,0.995,0.72557,1.05264,1.49964,0.88321,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,442.055,0.8987,1.38448,0.88249,0.94568,0.93153,0.995,0.73173,1.06248,1.48095,0.8843,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,450.837,0.92597,1.36313,0.92287,0.94568,0.93153,0.995,0.73173,1.06248,1.48095,0.8843,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,462.02,0.85564,1.67626,0.87402,0.94965,0.93164,0.995,0.72475,1.06216,1.453,0.88418,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,472.776,0.88882,1.80825,0.93043,0.94965,0.93164,0.995,0.72475,1.06216,1.453,0.88418,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,487.153,0.92305,1.61512,0.93885,0.90022,0.98872,0.995,0.71364,1.06423,1.44308,0.88312,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,499.713,0.92279,1.68007,0.94624,0.89965,0.98815,0.995,0.70307,1.07649,1.45449,0.88503,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,508.627,0.77234,1.61545,0.89738,0.89965,0.98815,0.995,0.70307,1.07649,1.45449,0.88503,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,519.379,0.85322,1.63104,0.88732,0.89718,0.9904,0.995,0.71002,1.08625,1.44863,0.88641,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,530.162,0.83128,1.56114,0.9309,0.89669,0.99537,0.995,0.70307,1.08836,1.45058,0.88686,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,538.665,0.80944,1.51422,0.8746,0.89669,0.99537,0.995,0.70307,1.08836,1.45058,0.88686,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,549.508,0.87548,1.6493,0.9065,0.89092,1,0.995,0.70307,1.08747,1.45607,0.88786,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,557.985,0.82469,1.64723,0.8854,0.89092,1,0.995,0.70307,1.08747,1.45607,0.88786,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
